Категория,Значение,Теоретическая P,Эмпирическая P,Отклонение
прическа,нет волос,0.14,0.14054,0.0005399999999999849
прическа,длинные в пучок,0.0,0.0,0.0
прическа,длинные волнистые,0.02,0.01982,-0.0001799999999999996
прическа,длинные прямые,0.46,0.46302,0.003019999999999967
прическа,короткая волнистые,0.02,0.02056,0.000559999999999998
прическа,короткая прямые,0.22,0.21782,-0.0021799999999999875
прическа,короткая курчавые,0.14,0.13824,-0.0017600000000000116
цвет волос,черный,0.14,0.14136,0.00136
цвет волос,блонд,0.12,0.12066,0.0006600000000000078
цвет волос,каштановый,0.04,0.0391,-0.000899999999999998
цвет волос,пастельный розовый,0.06,0.0601,0.00010000000000000286
цвет волос,рыжий,0.16,0.16116,0.0011599999999999944
цвет волос,серебристо серый,0.48,0.47762,-0.0023799999999999932
аксесуар,нет очков,0.22,0.22028,0.00028000000000000247
аксесуар,круглые очки,0.44,0.43914,-0.0008600000000000274
аксесуар,солнцезащитные очки,0.34,0.34058,0.0005799999999999694
одежда,худи,0.14,0.14052,0.0005199999999999927
одежда,комбинезон,0.36,0.3589,-0.0010999999999999899
одежда,футболка с круглым вырезом,0.38,0.38082,0.0008199999999999874
одежда,футболка с V-вырезом,0.12,0.11976,-0.00023999999999999022
цвет одежды,черный,0.08,0.08058,0.0005799999999999972
цвет одежды,синий,0.1,0.10006,5.9999999999990616e-05
цвет одежды,серый,0.12,0.11682,-0.0031800000000000023
цвет одежды,зеленый,0.16,0.16248,0.00248000000000001
цвет одежды,оранжевый,0.12,0.11914,-0.0008599999999999997
цвет одежды,розовый,0.16,0.16114,0.0011400000000000021
цвет одежды,красный,0.14,0.13994,-6.0000000000004494e-05
цвет одежды,белый,0.12,0.11984,-0.00015999999999999348
