person,image,e4e_latent,opt_latent,table1_image,notes_e4e,notes_opt
AJoly,0.jpg,/content/inversions/e4e/AJoly_0.pt,/content/inversions/opt/AJoly_0.pt,/content/reports/table1/AJoly_0_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
AJoly,1.jpg,/content/inversions/e4e/AJoly_1.pt,/content/inversions/opt/AJoly_1.pt,/content/reports/table1/AJoly_1_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
AJoly,2.jpg,/content/inversions/e4e/AJoly_2.pt,/content/inversions/opt/AJoly_2.pt,/content/reports/table1/AJoly_2_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
AJoly,3.jpg,/content/inversions/e4e/AJoly_3.pt,/content/inversions/opt/AJoly_3.pt,/content/reports/table1/AJoly_3_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
AJoly,4.jpg,/content/inversions/e4e/AJoly_4.pt,/content/inversions/opt/AJoly_4.pt,/content/reports/table1/AJoly_4_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
EMerphy,0.jpg,/content/inversions/e4e/EMerphy_0.pt,/content/inversions/opt/EMerphy_0.pt,/content/reports/table1/EMerphy_0_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
EMerphy,1.jpg,/content/inversions/e4e/EMerphy_1.pt,/content/inversions/opt/EMerphy_1.pt,/content/reports/table1/EMerphy_1_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
EMerphy,2.jpg,/content/inversions/e4e/EMerphy_2.pt,/content/inversions/opt/EMerphy_2.pt,/content/reports/table1/EMerphy_2_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
EMerphy,3.jpg,/content/inversions/e4e/EMerphy_3.pt,/content/inversions/opt/EMerphy_3.pt,/content/reports/table1/EMerphy_3_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
EMerphy,4.jpg,/content/inversions/e4e/EMerphy_4.pt,/content/inversions/opt/EMerphy_4.pt,/content/reports/table1/EMerphy_4_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
KJunJin,0.jpg,/content/inversions/e4e/KJunJin_0.pt,/content/inversions/opt/KJunJin_0.pt,/content/reports/table1/KJunJin_0_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
KJunJin,1.jpg,/content/inversions/e4e/KJunJin_1.pt,/content/inversions/opt/KJunJin_1.pt,/content/reports/table1/KJunJin_1_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
KJunJin,2.jpg,/content/inversions/e4e/KJunJin_2.pt,/content/inversions/opt/KJunJin_2.pt,/content/reports/table1/KJunJin_2_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
KJunJin,3.jpg,/content/inversions/e4e/KJunJin_3.pt,/content/inversions/opt/KJunJin_3.pt,/content/reports/table1/KJunJin_3_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
KJunJin,4.jpg,/content/inversions/e4e/KJunJin_4.pt,/content/inversions/opt/KJunJin_4.pt,/content/reports/table1/KJunJin_4_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
LDCaprio,0.jpg,/content/inversions/e4e/LDCaprio_0.pt,/content/inversions/opt/LDCaprio_0.pt,/content/reports/table1/LDCaprio_0_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
LDCaprio,1.jpg,/content/inversions/e4e/LDCaprio_1.pt,/content/inversions/opt/LDCaprio_1.pt,/content/reports/table1/LDCaprio_1_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
LDCaprio,2.jpg,/content/inversions/e4e/LDCaprio_2.pt,/content/inversions/opt/LDCaprio_2.pt,/content/reports/table1/LDCaprio_2_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
LDCaprio,3.jpg,/content/inversions/e4e/LDCaprio_3.pt,/content/inversions/opt/LDCaprio_3.pt,/content/reports/table1/LDCaprio_3_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
LDCaprio,4.jpg,/content/inversions/e4e/LDCaprio_4.pt,/content/inversions/opt/LDCaprio_4.pt,/content/reports/table1/LDCaprio_4_table1.jpg,encoder=e4e,"optimization with LPIPS+MS-SSIM+noise_reg, Cosine LR"
